Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2011-02-03 11:59:30	17301.985	-7017.531	-14028.412
2011-02-04 11:59:30	17305.261	-7019.047	-14036.608
2011-02-05 11:59:30	17303.402	-7017.331	-14030.403
2011-02-06 11:59:30	17302.749	-7019.489	-14032.678
2011-02-07 11:59:30	17302.907	-7021.518	-14030.769
2011-02-08 11:59:30	17303.219	-7017.853	-14034.605
2011-02-09 11:59:30	99999.0	99999.0	99999.0
2011-02-10 11:59:30	17309.436	-7017.598	-14033.33
2011-02-11 11:59:30	99999.0	99999.0	99999.0
2011-02-12 11:59:30	17305.364	-7018.952	-14036.437
2011-02-13 11:59:30	17304.485	-7016.291	-14035.937
2011-02-14 11:59:30	17303.063	-7018.142	-14036.913
2011-02-15 11:59:30	17303.541	-7022.787	-14037.766
2011-02-16 11:59:30	17301.105	-7019.123	-14035.515
2011-02-17 11:59:30	17304.062	-7024.8	-14031.132
2011-02-18 11:59:30	17303.337	-7025.31	-14035.024
2011-02-19 11:59:30	17295.494	-7019.08	-14034.929
2011-02-20 11:59:30	17301.911	-7019.556	-14033.5
2011-02-21 11:59:30	17300.17	-7018.854	-14036.898
2011-02-22 11:59:30	17300.556	-7018.544	-14034.683
2011-02-23 11:59:30	17298.916	-7021.134	-14036.804
2011-02-24 11:59:30	17298.374	-7019.833	-14037.203
2011-02-25 11:59:30	17298.017	-7018.893	-14037.101
2011-02-26 11:59:30	17296.791	-7019.279	-14036.023
2011-02-27 11:59:30	99999.0	99999.0	99999.0
2011-02-28 11:59:30	17298.573	-7019.149	-14037.54
2011-03-01 11:59:30	17297.342	-7014.164	-14042.652
2011-03-02 11:59:30	17291.533	-7016.103	-14036.347
2011-03-03 11:59:30	17296.098	-7019.505	-14039.601
2011-03-04 11:59:30	17295.966	-7017.037	-14038.329
2011-03-05 11:59:30	17296.82	-7023.853	-14035.265
2011-03-06 11:59:30	17298.045	-7023.979	-14036.209
2011-03-07 11:59:30	17296.121	-7023.615	-14042.358
2011-03-08 11:59:30	17298.107	-7019.919	-14038.512
2011-03-09 11:59:30	17300.187	-7019.729	-14039.102
2011-03-10 11:59:30	17295.821	-7011.226	-14043.312
2011-03-11 11:59:30	17289.864	-7019.685	-14043.852
2011-03-12 11:59:30	17288.362	-7019.313	-14039.921
2011-03-13 11:59:30	17290.109	-7019.93	-14040.137
2011-03-14 11:59:30	17291.334	-7018.521	-14039.398
2011-03-15 11:59:30	17290.723	-7021.786	-14039.979
2011-03-16 11:59:30	17292.562	-7021.277	-14041.722
2011-03-17 11:59:30	17290.081	-7021.974	-14037.128
2011-03-18 11:59:30	17291.373	-7021.382	-14039.519
2011-03-19 11:59:30	17292.774	-7018.377	-14038.683
2011-03-20 11:59:30	17292.071	-7023.46	-14042.076
2011-03-21 11:59:30	17288.826	-7023.8	-14039.568
2011-03-22 11:59:30	17292.369	-7025.704	-14041.469
2011-03-23 11:59:30	17284.913	-7022.649	-14038.869
2011-03-24 11:59:30	17288.741	-7023.727	-14037.188
